番号,都道府県,地区名称等,種別,選定年月日,選定基準,面積（ha）,pdfurl
105,福岡,うきは市筑後吉井,在郷町,1996-12-10,（三）,20.7,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_105.pdf
106,福岡,うきは市新川田篭,山村集落,2012-07-09,（三）,71.2,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_106.pdf
107,福岡,朝倉市秋月,城下町,1998-04-17,（二）,58.6,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_107.pdf
108,佐賀,鹿島市浜庄津町浜金屋町,港町・在郷町,2006-07-05,（二）,2.0,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_108.pdf
109,佐賀,鹿島市浜中町八本木宿,醸造町,2006-07-05,（一）,6.7,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_109.pdf
110,佐賀,嬉野市塩田津,商家町,2005-12-27,（二）,12.8,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_110.pdf
111,佐賀,有田町有田内山,製磁町,1991-04-30,（三）,15.9,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_111.pdf
112,長崎,長崎市東山手,港町,1991-04-30,（二）,7.5,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_112.pdf
113,長崎,長崎市南山手,港町,1991-04-30,（二）,17.0,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_113.pdf
114,長崎,平戸市大島村神浦,港町,2008-06-09,（二）,21.2,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_114.pdf
115,長崎,雲仙市神代小路,武家町,2005-07-22,（二）,9.8,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_115.pdf
116,大分,日田市豆田町,商家町,2004-12-10,（二）,10.7,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_116.pdf
117,大分,杵築市北台南台,武家町,2017-11-28,（二）,16.1,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_117.pdf
118,宮崎,日南市飫肥,武家町,1977-05-18,（二）,19.8,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_118.pdf
119,宮崎,日向市美々津,港町,1986-12-08,（二）,7.2,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_119.pdf
120,宮崎,椎葉村十根川,山村集落,1998-12-25,（三）,39.9,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_120.pdf
121,鹿児島,出水市出水麓,武家町,1995-12-26,（二）,43.8,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_121.pdf
122,鹿児島,薩摩川内市入来麓,武家町,2003-12-25,（二）,19.2,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_122.pdf
123,鹿児島,南さつま市加世田麓,武家町,2019-12-23,（二）,20.0,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_123.pdf
124,鹿児島,南九州市知覧,武家町,1981-11-30,（二）,18.6,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_124.pdf
125,沖縄,渡名喜村渡名喜島,島の農村集落,2000-05-25,（三）,21.4,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_125.pdf
126,沖縄,竹富町竹富島,島の農村集落,1987-04-28,（三）,38.3,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_126.pdf
